ID,BranchName,ChequeStatus,Amount,ScanDate
1,Kingston,2,350860,2013-03-06
2,Kingston,2,750000,2013-03-06
3,Kingston,2,550000,2013-03-06
4,Kingston,3,2000000,2013-03-06
5,Kingston,2,360000,2013-03-06
6,Kingston,2,300000,2013-03-06
7,Kingston,2,4400000,2013-03-06
8,Kingston,1,400000,2013-03-06
9,Kingston,1,300000,2013-03-06
10,Victoria,2,388181.35,2013-03-06
11,Victoria,2,735000,2013-03-06
12,Victoria,2,2600384.25,2013-03-06
13,Victoria,3,738100.5,2013-03-06
14,Victoria,1,376946.78,2013-03-06
15,Victoria,1,572873.39,2013-03-06
16,Victoria,2,63473.39,2013-03-06
17,Victoria,2,63473.39,2013-03-06
18,Kingston,2,10000,2013-03-07
19,Kingston,2,10000,2013-03-07
20,Kingston,2,10000,2013-03-07
21,Kingston,3,692155,2013-03-07
22,Kingston,2,8900000,2013-03-07
23,Kingston,1,725000,2013-03-07
24,Victoria,1,596123.11,2013-03-07
25,Victoria,2,1000000,2013-03-07
26,Victoria,2,2500000,2013-03-07
27,Victoria,2,50000,2013-03-07
28,Victoria,3,660000,2013-03-07
29,Kingston,1,845120,2013-03-07
